Product ID,Product Type,Code,Name,Brand,Description,Cost Price,Retail Price,Sale Price,Calculated Price,Fixed Shipping Price,Free Shipping,Warranty,Weight,Width,Height,Depth,Allow Purchases,Product Visible,Product Availability,Product Inventoried,Stock Level,Low Stock Level,Date Added,Date Modified,Category Details,Images,Page Title,META Keywords,META Description,Product Condition,Product URL,Redirect Old URL?,Product Tax Code,Product Custom Fields
107,P,DPB,[Sample] Dustpan & Brush,OFS,"A seemingly simple dustpan with a few features to make life easier. The arch and length of the dustpan eases cleanup, the wood turned handle provides firm grip and the rubber liner along the edge of the scoop will retrieve small crumbs with a single swipe. A key ring at the top makes storage a cinch - hang it off a broom closet hook when not in use. Dustpan Measures 45 cm/17.7 in",0,0,0,34.95,0,N,,1,0,0,0,Y,Y,,N,0,0,03/07/2015,03/07/2015,"Category Name: Utility, Category Path: Utility|Category Name: Shop All, Category Path: Shop All","Product Image File: dustpan1.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/dustpan1.jpg|Product Image File: dustpan4.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/dustpan4.jpg|Product Image File: dustpan3.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/dustpan3.jpg|Product Image File: dustpan2.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/dustpan2.jpg|Product Image File: dustpan5.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/dustpan5.jpg",,,,New,/dustpan-brush/,,,
111,P,SM13,[Sample] Smith Journal 13,,"Volume 13 of Smith Journal is crammed with more than its fair share of sharp minds. Top of the list would have to be Solomon Shereshevsky, who remembered every single thing he’d ever come across – a great skill to have when it came to party tricks, but enough to send him crackers. And then there’s Delbert Trew who spends more time than you can imagine thinking about something very sharp indeed: barbed wire. You can’t go past Samuel Morse, either, who was a famous portrait painter before he gave his name to the code he invented. What a genius! And we’re pretty taken with Noel Turner, who was smart enough to get around some pretty weird New Zealand laws to invent a car that, for a while, was a huge success. As well, you’ll find stories on a cross-dressing spy, a couple of Sydney nerds who revolutionised modern music, court illustration, big wheels, the dubious science of controlling the weather and a whole stack of other stuff. 143 Pages",0,0,0,25,0,N,,1,0,0,0,Y,Y,,Y,100,200,03/07/2015,27/12/2018,"Category Name: Publications, Category Path: Publications|Category Name: Shop All, Category Path: Shop All","Product Image File: smithjournal1.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/smithjournal1.jpg|Product Image File: smithjournal5.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/smithjournal5.jpg|Product Image File: smithjournal4.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/smithjournal4.jpg|Product Image File: smithjournal3.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/smithjournal3.jpg|Product Image File: smithjournal2.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/smithjournal2.jpg",,,,New,/smith-journal-13/,,,
112,D,,rwerw,,Type a description for this product here...,0,0,0,14,0,N,,0,0,0,0,Y,Y,,N,0,0,14/03/2019,14/03/2019,"Category Name: Bath, Category Path: Bath",,,,,New,/rwerw/,,,
113,P,,test product 1,,Type a description for this product here...,0,0,0,12414,0,N,,4764,0,0,323,Y,Y,,N,0,0,27/03/2019,18/07/2019,"Category Name: Kitchen, Category Path: Kitchen|Category Name: Shop All, Category Path: Shop All",,,,,New,/test-product-1/,,,
114,P,,434,newbrand,Type a description for this product here...,0,0,0,323,0,N,,434,0,0,0,Y,Y,,Y,5,6,26/05/2019,18/07/2019,"Category Name: Bath, Category Path: Bath","Product Image File: IMG_3180__14522.jpg, Product Image URL: http://enochlam.com/product_images/u/461/IMG_3180__14522.jpg|Product Image File: IMG_2765__97628.jpg, Product Image URL: http://enochlam.com/product_images/q/834/IMG_2765__97628.jpg|Product Image File: IMG_2767__37413.jpg, Product Image URL: http://enochlam.com/product_images/k/611/IMG_2767__37413.jpg|Product Image File: IMG_2764__88726.jpg, Product Image URL: http://enochlam.com/product_images/w/494/IMG_2764__88726.jpg|Product Image File: IMG_2766__63250.jpg, Product Image URL: http://enochlam.com/product_images/y/046/IMG_2766__63250.jpg",,,,New,/434/,,,
115,P,,v2<>v3 Test,,Type a description for this product here...,0,0,0,100,0,N,,12,0,0,0,Y,Y,,Y,20,0,16/07/2019,09/09/2019,"Category Name: Shop All, Category Path: Shop All",,,,,New,/v2-v3-test/,,,test=vsdgdsg;wea=gfdgd;asdsad=gdfgd
116,P,,hkhkkh;lk;,,Type a description for this product here...,0,0,0,1434535,0,N,,3,0,0,0,Y,Y,,Y,0,0,27/08/2019,17/09/2019,"Category Name: Shop All, Category Path: Shop All","Product Image File: Screen_Shot_2019-09-16_at_3.13.53_PM__88900.png, Product Image URL: http://enochlam.com/product_images/t/994/Screen_Shot_2019-09-16_at_3.13.53_PM__88900.png|Product Image File: Screen_Shot_2019-09-16_at_3.13.45_PM__11847.png, Product Image URL: http://enochlam.com/product_images/y/052/Screen_Shot_2019-09-16_at_3.13.45_PM__11847.png|Product Image File: Screen_Shot_2019-09-16_at_3.13.43_PM__75785.png, Product Image URL: http://enochlam.com/product_images/h/237/Screen_Shot_2019-09-16_at_3.13.43_PM__75785.png|Product Image File: Screen_Shot_2019-09-16_at_3.13.43_PM_2__41141.png, Product Image URL: http://enochlam.com/product_images/n/714/Screen_Shot_2019-09-16_at_3.13.43_PM_2__41141.png",,,,New,/hkhkkh-lk/,,,
117,P,,Burney's Test Shirt,,Type a description for this product here...,0,0,0,100,0,N,,6,0,0,0,Y,Y,,N,0,0,17/09/2019,12/12/2019,"Category Name: Clothing, Category Path: Clothing","Product Image File: 10_source_1519421165__83671.jpg, Product Image URL: http://enochlam.com/product_images/r/825/10_source_1519421165__83671.jpg|Product Image File: 12_source_1519421176__95641.jpg, Product Image URL: http://enochlam.com/product_images/f/293/12_source_1519421176__95641.jpg",,,,New,/burneys-test-shirt/,,,
118,P,,T-shirt,,Type a description for this product here...,0,0,0,12,0,N,,0,0,0,0,Y,Y,,N,0,0,27/01/2020,27/01/2020,"Category Name: Clothing, Category Path: Clothing",,,,,New,/t-shirt/,,,
119,P,,T-Shirt 2,,Type a description for this product here...,0,0,0,4234,0,N,,3,0,0,0,Y,Y,,N,0,0,27/01/2020,10/02/2020,"Category Name: Clothing, Category Path: Clothing",,,,,New,/t-shirt-2/,,,
